keyword,avg_monthly_searches,n,searches_raw,month_counter,month,roll_avg
is whatnot app legit,1300,70.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",18,2023-11-01,53
is whatnot app legit,1300,110.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",19,2023-12-01,77
is whatnot app legit,1300,90.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",20,2024-01-01,90
is whatnot app legit,1300,210.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",21,2024-02-01,137
is whatnot app legit,1300,170.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",22,2024-03-01,157
is whatnot app legit,1300,70.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",23,2024-04-01,150
is whatnot app legit,1300,90.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",24,2024-05-01,110
is whatnot app legit,1300,110.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",25,2024-06-01,90
is whatnot app legit,1300,110.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",26,2024-07-01,103
is whatnot app legit,1300,210.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",27,2024-08-01,143
is whatnot app legit,1300,170.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",28,2024-09-01,163
is whatnot app legit,1300,170.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",29,2024-10-01,183
is whatnot app legit,1300,260.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",30,2024-11-01,200
is whatnot app legit,1300,210.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",31,2024-12-01,213
is whatnot app legit,1300,210.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",32,2025-01-01,227
is whatnot app legit,1300,260.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",33,2025-02-01,227
is whatnot app legit,1300,320.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",34,2025-03-01,263
is whatnot app legit,1300,390.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",35,2025-04-01,323
is whatnot app legit,1300,390.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",36,2025-05-01,367
is whatnot app legit,1300,480.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",37,2025-06-01,420
is whatnot app legit,1300,590.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",38,2025-07-01,487
is whatnot app legit,1300,880.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",39,2025-08-01,650
is whatnot app legit,1300,1000.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",40,2025-09-01,823
is whatnot app legit,1300,1000.0,"[  50   20   50   40   40   30   90  110  140  140   40   50   70   70
   70   40   50   70  110   90  210  170   70   90  110  110  210  170
  170  260  210  210  260  320  390  390  480  590  880 1000 1000 1300
 1600 2900 2400 1300 1600 1600]",41,2025-10-01,960
